,County,Employees,Establishments
1,Alpine,1048,41
2,Amador,5985,782
3,Alameda,505595,32808
4,Butte,45746,4613
5,Calaveras,4781,870
6,Colusa,2902,377
7,Contra Costa,269056,20278
8,El Dorad,25509,3403
9,Fres,188738,14823
10,Del Norte,4223,580
11,Humbold,33912,3495
12,Gle,4727,506
13,Imperial,21610,2216
14,Kings,15784,1398
15,Lake,7837,1167
16,Ker,129537,10759
17,I,4750,616
18,Lasse,3885,562
19,Los Angeles,3847918,219625
20,Madera,15509,1634
21,Mariposa,2876,364
22,Mendoci,21327,2627
23,Mari,89295,9453
24,Merced,33988,2826
25,Modoc,1292,203
26,M,5795,479
27,Napa,35943,3249
28,Montere,87922,8160
29,Orange,1191075,71255
30,Nevada,18897,2586
31,Placer,53443,5537
32,Plumas,3832,621
33,Riverside,292031,22423
34,San Bernardi,373719,24987
35,San Beni,8049,763
36,Sacrame,337951,24675
37,San Dieg,867603,60581
38,San Francisc,520059,32149
39,San Joaqui,127573,9864
40,San Luis Obisp,60893,6089
41,San Mate,297544,18699
42,Santa Barbara,128838,10396
43,Santa Cruz,72596,6684
44,Santa Clara,808990,39340
45,Shasta,42671,4514
46,Siski,9268,1287
47,Sola,76183,5955
48,Sierra,447,77
49,Stanislaus,103228,7732
50,Sonoma,130521,11990
51,Sutter,14945,1553
52,Tehama,9384,946
53,Tulare,66224,5816
54,Trini,1803,320
55,Yol,43618,3138
56,Ventura,205176,15223
57,Tuolumne,11070,1510
58,Yuba,8842,923
59,Statewide California,14553,139
