City,Longitude,Lattitude,Population,Median Age,Median Income,Median House Value,Total Rooms,Bedrooms,Households,Ocean Proximity
Berkeley,-122.23,37.88,322.0,41.0,8.3252,452600.0,880.0,129.0,126.0,NEAR BAY
Piedmont,-122.22,37.86,2401.0,21.0,8.3014,358500.0,7099.0,1106.0,1138.0,NEAR BAY
Piedmont,-122.24,37.85,496.0,52.0,7.2574,352100.0,1467.0,190.0,177.0,NEAR BAY
Berkeley,-122.25,37.85,558.0,52.0,5.6431,341300.0,1274.0,235.0,219.0,NEAR BAY
Berkeley,-122.25,37.85,565.0,52.0,3.8462,342200.0,1627.0,280.0,259.0,NEAR BAY
Berkeley,-122.25,37.85,413.0,52.0,4.0368,269700.0,919.0,213.0,193.0,NEAR BAY
Piedmont,-122.25,37.84,1094.0,52.0,3.6591,299200.0,2535.0,489.0,514.0,NEAR BAY
Piedmont,-122.25,37.84,1157.0,52.0,3.12,241400.0,3104.0,687.0,647.0,NEAR BAY
Piedmont,-122.26,37.84,1206.0,42.0,2.0804,226700.0,2555.0,665.0,595.0,NEAR BAY
Piedmont,-122.25,37.84,1551.0,52.0,3.6912,261100.0,3549.0,707.0,714.0,NEAR BAY
Berkeley,-122.26,37.85,910.0,52.0,3.2031,281500.0,2202.0,434.0,402.0,NEAR BAY
Berkeley,-122.26,37.85,1504.0,52.0,3.2705,241800.0,3503.0,752.0,734.0,NEAR BAY
Berkeley,-122.26,37.85,1098.0,52.0,3.075,213500.0,2491.0,474.0,468.0,NEAR BAY
Piedmont,-122.26,37.84,345.0,52.0,2.6736,191300.0,696.0,191.0,174.0,NEAR BAY
Berkeley,-122.26,37.85,1212.0,52.0,1.9167,159200.0,2643.0,626.0,620.0,NEAR BAY
Berkeley,-122.26,37.85,697.0,50.0,2.125,140000.0,1120.0,283.0,264.0,NEAR BAY
Berkeley,-122.27,37.85,793.0,52.0,2.775,152500.0,1966.0,347.0,331.0,NEAR BAY
Berkeley,-122.27,37.85,648.0,52.0,2.1202,155500.0,1228.0,293.0,303.0,NEAR BAY
Piedmont,-122.26,37.84,990.0,50.0,1.9911,158700.0,2239.0,455.0,419.0,NEAR BAY
Berkeley,-122.27,37.84,690.0,52.0,2.6033,162900.0,1503.0,298.0,275.0,NEAR BAY
Berkeley,-122.27,37.85,409.0,40.0,1.3578,147500.0,751.0,184.0,166.0,NEAR BAY
Berkeley,-122.27,37.85,929.0,42.0,1.7135,159800.0,1639.0,367.0,366.0,NEAR BAY
