City,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Berkeley,88.09,65,20,10.36,few clouds
Piedmont,87.76,62,20,10.36,few clouds
Oakland,87.69,63,75,17.27,broken clouds
Orinda,86.95,59,0,12.66,clear sky
Alameda,91.31,39,0,8.01,clear sky
San Leandro,92.37,60,20,10.36,few clouds
Moraga,87.1,58,20,12.66,few clouds
Albany,97.45,38,58,1.99,broken clouds
El Cerrito,84.99,54,40,3.44,scattered clouds
Castro Valley,91.94,52,0,10.36,clear sky
Ashland,85.15,68,100,17.43,overcast clouds
Cherryland,92.34,52,0,10.36,clear sky
Hayward,91.78,49,0,10.36,clear sky
San Lorenzo,86.94,43,0,7.0,clear sky
Fairview,100.74,37,20,19.57,few clouds
Union City,91.35,46,0,8.05,clear sky
Fremont,91.38,46,0,8.05,clear sky
Newark,101.44,34,75,18.41,broken clouds
Milpitas,89.08,44,0,6.91,clear sky
Dublin,90.25,42,0,8.05,clear sky
Pleasanton,90.34,40,0,8.01,clear sky
Livermore,90.81,37,0,5.75,clear sky
South Lake Tahoe,89.62,20,20,6.91,few clouds
Placerville,95.9,19,0,5.75,clear sky
Cameron Park,97.39,22,0,3.0,clear sky
Lodi,94.37,17,0,7.11,clear sky
Chico,103.21,25,40,6.91,smoke
Paradise,108.09,19,40,21.85,scattered clouds
Magalia,85.55,9,0,7.36,clear sky
Oroville,99.86,20,0,4.61,clear sky
Grass Valley,96.51,22,0,4.0,clear sky
Yuba City,105.03,22,0,5.75,clear sky
Oakdale,80.02,46,40,14.97,scattered clouds
South Yuba City,105.04,22,0,5.75,clear sky
Woodland,97.72,28,0,3.44,clear sky
Clearlake,98.35,13,0,4.56,clear sky
Oakley,91.51,37,0,5.01,clear sky
Brentwood,97.0,61,75,18.41,broken clouds
Antioch,82.22,41,0,5.7,clear sky
Pittsburg,91.47,42,0,12.66,clear sky
Bay Point,92.25,42,0,12.66,clear sky
Concord,92.28,43,0,12.66,clear sky
Martinez,92.48,52,0,12.66,clear sky
Pleasant Hill,92.39,50,0,12.66,clear sky
Clayton,94.42,55,75,4.61,broken clouds
Walnut Creek,91.63,54,0,12.66,clear sky
Alamo,94.64,51,58,15.86,broken clouds
San Ramon,90.81,46,0,8.05,clear sky
Danville,100.02,44,20,9.22,few clouds
Lafayette,89.94,62,75,9.22,thunderstorm
Hercules,89.78,62,0,13.0,clear sky
Benicia,92.48,52,0,12.66,clear sky
Vallejo,90.14,59,0,13.0,clear sky
Pinole,88.27,64,0,13.0,clear sky
El Sobrante,87.89,64,1,13.0,clear sky
San Pablo,78.91,95,95,2.06,overcast clouds
Richmond,101.05,43,40,12.66,scattered clouds
Tiburon,87.87,72,14,11.01,few clouds
Arcata,71.2,78,100,8.05,haze
Grants Pass,95.18,36,0,4.61,clear sky
Auburn,84.74,57,20,8.05,few clouds
Folsom,100.9,27,0,5.75,clear sky
Fresno,100.36,22,20,6.91,few clouds
Clovis,103.6,22,20,6.91,few clouds
Selma,100.63,25,0,3.44,clear sky
Kerman,82.26,26,0,4.61,clear sky
Sanger,101.8,23,0,6.91,clear sky
Reedley,101.98,27,0,3.44,clear sky
Dinuba,104.97,27,0,3.44,clear sky
Orange Cove,104.63,19,0,3.44,clear sky
Parlier,101.91,26,0,3.44,clear sky
Kingsburg,100.67,27,0,3.44,clear sky
Lemoore,96.82,19,0,8.05,clear sky
Hanford,96.75,21,0,5.75,clear sky
Avenal,98.55,10,0,3.74,clear sky
Coalinga,99.03,17,0,3.71,clear sky
Mendota,93.47,10,0,5.59,clear sky
Los Banos,81.09,91,89,3.69,overcast clouds
Red Bluff,106.52,14,0,12.66,clear sky
Eureka,71.2,73,27,5.01,scattered clouds
Fortuna,70.93,69,18,3.0,few clouds
Brawley,100.65,37,0,12.66,clear sky
Mexicali,100.26,45,99,2.13,overcast clouds
Imperial,100.62,48,99,3.24,overcast clouds
Calexico,100.26,37,0,12.66,clear sky
El Centro,100.38,38,0,12.66,clear sky
Coachella,105.73,41,0,16.11,clear sky
Progreso,95.11,69,13,16.64,few clouds
Blythe,97.25,38,0,14.97,clear sky
Algodones,81.14,65,87,7.74,overcast clouds
Yuma,103.24,36,0,18.41,clear sky
Ridgecrest,104.68,8,0,4.61,clear sky
Lindsay,105.01,17,0,6.91,clear sky
Pahrump,102.43,19,3,8.99,clear sky
Oildale,99.88,19,0,10.36,clear sky
Bakersfield,100.85,19,0,10.36,clear sky
Lamont,107.55,22,0,5.5,clear sky
Arvin,107.4,22,0,5.99,clear sky
Fillmore,76.33,57,40,14.97,scattered clouds
Taft,93.15,11,20,11.5,few clouds
Shafter,101.07,8,0,6.51,clear sky
