City,Longitude,latitude,Population,median_age,median_income,median_house_value,total_rooms,Bedrooms,Households,ocean_proximity,max_temp,Humidity,Cloudiness,wind_speed,Description,County,Employees,Establishments
Mission Viejo,-117.66,33.61,789,16,8.4112,286900,2022,254,270,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.62,1962,16,6.2177,256600,4065,661,636,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.67,33.61,1972,24,5.7871,227400,3859,661,624,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.61,1713,17,6.0471,248400,3464,519,530,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.61,860,21,7.1497,274000,1932,266,286,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.6,781,24,6.8667,279600,1684,232,230,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.6,1648,25,7.5488,278100,3745,522,496,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.67,33.61,1695,23,6.1401,243200,3588,577,569,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Corona,-117.62,33.77,930,43,4.6369,186400,1911,439,433,<1H OCEAN,100.78,51,0,11.5,clear sky,Riverside,292031,22423
Mission Viejo,-117.67,33.6,1517,25,6.7921,266000,3164,449,453,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.59,1918,18,7.5791,288100,4552,706,671,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.67,33.6,565,20,7.2592,314800,1213,171,170,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.58,1172,16,7.5196,315600,3016,394,382,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.67,33.57,692,18,7.9294,280300,1614,210,209,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.57,1642,16,8.0082,286600,4277,565,549,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.68,33.61,1295,19,6.0689,248000,2962,405,440,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.61,1649,16,4.0221,236200,3010,580,538,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.68,33.6,1646,19,7.2147,303900,3913,460,454,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.63,1395,16,8.4471,351300,3388,425,427,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.63,1967,16,5.5085,223300,3299,610,604,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.62,1140,15,6.2899,275000,2708,410,389,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.64,33.62,1202,16,3.4115,184800,3970,771,734,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.62,2717,16,6.1493,257800,5175,799,813,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Berkeley,-122.23,37.88,322,41,8.3252,452600,880,129,126,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.22,37.86,2401,21,8.3014,358500,7099,1106,1138,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
