City,Longitude,latitude,Population,median_age,median_income,median_house_value,total_rooms,Bedrooms,Households,ocean_proximity,max_temp,Humidity,Cloudiness,wind_speed,Description
Mission Viejo,-117.66,33.61,789,16,8.4112,286900,2022,254,270,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.62,1962,16,6.2177,256600,4065,661,636,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.67,33.61,1972,24,5.7871,227400,3859,661,624,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.61,1713,17,6.0471,248400,3464,519,530,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.61,860,21,7.1497,274000,1932,266,286,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.6,781,24,6.8667,279600,1684,232,230,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.6,1648,25,7.5488,278100,3745,522,496,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.67,33.61,1695,23,6.1401,243200,3588,577,569,<1H OCEAN,94.75,63,59,5.01,broken clouds
Lake Forest,-117.68,33.63,2701,16,3.929,143100,5218,1187,1125,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.68,33.63,2897,13,6.2403,257400,5830,921,891,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.67,33.63,3086,9,4.4063,202200,5774,1320,1265,<1H OCEAN,95.68,59,20,8.05,few clouds
Corona,-117.62,33.77,930,43,4.6369,186400,1911,439,433,<1H OCEAN,100.78,51,0,11.5,clear sky
Rancho Santa Margarita,-117.6,33.72,531,36,5.6346,272500,1317,228,214,<1H OCEAN,95.11,58,61,5.99,broken clouds
Mission Viejo,-117.67,33.6,1517,25,6.7921,266000,3164,449,453,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.59,1918,18,7.5791,288100,4552,706,671,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.67,33.6,565,20,7.2592,314800,1213,171,170,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.58,1172,16,7.5196,315600,3016,394,382,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.67,33.57,692,18,7.9294,280300,1614,210,209,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.57,1642,16,8.0082,286600,4277,565,549,<1H OCEAN,94.75,63,59,5.01,broken clouds
Laguna Hills,-117.7,33.62,4732,16,3.7361,197200,9653,2000,1922,<1H OCEAN,94.1,62,20,8.05,few clouds
Laguna Hills,-117.69,33.62,2025,18,6.4598,282700,4265,581,544,<1H OCEAN,94.1,62,20,8.05,few clouds
Mission Viejo,-117.68,33.61,1295,19,6.0689,248000,2962,405,440,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.61,1649,16,4.0221,236200,3010,580,538,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.68,33.6,1646,19,7.2147,303900,3913,460,454,<1H OCEAN,94.75,63,59,5.01,broken clouds
Lake Forest,-117.65,33.65,835,16,5.5779,234800,1538,260,259,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.66,33.64,1555,17,6.7079,250800,3173,501,520,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.67,33.64,1565,11,5.1645,164100,2722,554,508,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.66,33.65,4597,13,6.2242,237900,8527,1364,1393,<1H OCEAN,95.68,59,20,8.05,few clouds
Lake Forest,-117.65,33.65,1740,15,6.7543,251900,3485,519,485,<1H OCEAN,95.68,59,20,8.05,few clouds
Mission Viejo,-117.65,33.63,1395,16,8.4471,351300,3388,425,427,<1H OCEAN,94.75,63,59,5.01,broken clouds
Lake Forest,-117.65,33.65,2197,15,7.5426,294800,4713,671,673,<1H OCEAN,95.68,59,20,8.05,few clouds
Mission Viejo,-117.66,33.63,1967,16,5.5085,223300,3299,610,604,<1H OCEAN,94.75,63,59,5.01,broken clouds
Rancho Santa Margarita,-117.63,33.65,1688,10,7.7814,288700,3580,491,467,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.62,33.64,2985,2,10.1531,484100,7826,893,790,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.64,33.63,1808,10,8.798,436600,4814,643,588,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.64,33.64,810,11,6.1935,293200,2422,429,395,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.64,33.65,3256,4,5.4132,216600,6842,1512,1439,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.63,33.62,1293,9,3.7139,196700,4257,785,745,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.63,33.63,985,6,4.2009,238000,3068,549,536,<1H OCEAN,95.11,58,61,5.99,broken clouds
Mission Viejo,-117.65,33.62,1140,15,6.2899,275000,2708,410,389,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.64,33.62,1202,16,3.4115,184800,3970,771,734,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.62,2717,16,6.1493,257800,5175,799,813,<1H OCEAN,94.75,63,59,5.01,broken clouds
Berkeley,-122.23,37.88,322,41,8.3252,452600,880,129,126,NEAR BAY,88.09,65,20,10.36,few clouds
Piedmont,-122.22,37.86,2401,21,8.3014,358500,7099,1106,1138,NEAR BAY,87.76,62,20,10.36,few clouds
Piedmont,-122.24,37.85,496,52,7.2574,352100,1467,190,177,NEAR BAY,87.76,62,20,10.36,few clouds
Berkeley,-122.25,37.85,558,52,5.6431,341300,1274,235,219,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.25,37.85,565,52,3.8462,342200,1627,280,259,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.25,37.85,413,52,4.0368,269700,919,213,193,NEAR BAY,88.09,65,20,10.36,few clouds
Piedmont,-122.25,37.84,1094,52,3.6591,299200,2535,489,514,NEAR BAY,87.76,62,20,10.36,few clouds
Piedmont,-122.25,37.84,1157,52,3.12,241400,3104,687,647,NEAR BAY,87.76,62,20,10.36,few clouds
Piedmont,-122.26,37.84,1206,42,2.0804,226700,2555,665,595,NEAR BAY,87.76,62,20,10.36,few clouds
Piedmont,-122.25,37.84,1551,52,3.6912,261100,3549,707,714,NEAR BAY,87.76,62,20,10.36,few clouds
Berkeley,-122.26,37.85,910,52,3.2031,281500,2202,434,402,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.26,37.85,1504,52,3.2705,241800,3503,752,734,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.26,37.85,1098,52,3.075,213500,2491,474,468,NEAR BAY,88.09,65,20,10.36,few clouds
Piedmont,-122.26,37.84,345,52,2.6736,191300,696,191,174,NEAR BAY,87.76,62,20,10.36,few clouds
Berkeley,-122.26,37.85,1212,52,1.9167,159200,2643,626,620,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.26,37.85,697,50,2.125,140000,1120,283,264,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.85,793,52,2.775,152500,1966,347,331,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.85,648,52,2.1202,155500,1228,293,303,NEAR BAY,88.09,65,20,10.36,few clouds
Piedmont,-122.26,37.84,990,50,1.9911,158700,2239,455,419,NEAR BAY,87.76,62,20,10.36,few clouds
Berkeley,-122.27,37.84,690,52,2.6033,162900,1503,298,275,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.85,409,40,1.3578,147500,751,184,166,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.85,929,42,1.7135,159800,1639,367,366,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.84,1015,52,1.725,113900,2436,541,478,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.84,853,52,2.1806,99700,1688,337,325,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.84,1006,52,2.6,132600,2224,437,422,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.85,317,41,2.4038,107500,535,123,119,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.85,607,49,2.4597,93800,1130,244,239,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.85,1102,52,1.808,105500,1898,421,397,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.84,1131,50,1.6424,108900,2082,492,473,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.84,395,52,1.6875,132000,729,160,155,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.84,863,49,1.9274,122300,1916,447,378,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.28,37.84,1168,52,1.9615,115200,2153,481,441,NEAR BAY,88.09,65,20,10.36,few clouds
Berkeley,-122.27,37.84,1026,48,1.7969,110400,1922,409,335,NEAR BAY,88.09,65,20,10.36,few clouds
Oakland,-122.27,37.83,754,49,1.375,104900,1655,366,329,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.83,1258,51,2.7303,109700,2665,574,536,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.83,570,49,1.4861,97200,1215,282,264,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.83,987,48,1.0972,104500,1798,432,374,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.83,901,52,1.4103,103900,1511,390,403,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,689,52,3.48,191400,1470,330,309,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,1377,52,2.5898,176000,2432,715,696,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,946,52,2.0978,155400,1665,419,395,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,517,51,1.2852,150000,936,311,249,NEAR BAY,87.69,63,75,17.27,broken clouds
Piedmont,-122.26,37.84,462,49,1.025,118800,713,202,189,NEAR BAY,87.76,62,20,10.36,few clouds
Piedmont,-122.26,37.84,467,52,3.9643,188800,950,202,198,NEAR BAY,87.76,62,20,10.36,few clouds
Oakland,-122.26,37.83,660,52,3.0125,184400,1443,311,292,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,718,52,2.6768,182300,1656,420,382,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.83,616,50,2.026,142500,1125,322,304,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.82,558,43,1.7348,137500,1007,312,253,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.26,37.82,423,40,0.9506,187500,624,195,160,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.82,700,40,1.775,112500,946,375,352,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.82,735,21,0.9218,171900,896,453,438,NEAR BAY,87.69,63,75,17.27,broken clouds
