County,City,pop_april_2000,Land area sq mi,density,,,
San Bernardino,Adelanto,18130,56.01,324,,,
Los Angeles,Agoura Hills,20537,7.79,2636,,,
Alameda,Alameda,72259,10.61,6810,,,
Alameda,Albany,16444,1.79,9187,,,
Los Angeles,Alhambra,85804,7.63,11246,,,
Modoc,Alturas,2892,2.43,1190,,,
Amador,Amador City,196,0.31,632,,,
Orange,Anaheim,328014,49.84,6581,,,
Shasta,Anderson,9022,6.37,1416,,,
Calaveras,Angels,3004,3.63,828,,,
Contra Costa,Antioch,90532,28.35,3193,,,
San Bernardino,Apple Valley,54239,73.19,741,,,
Los Angeles,Arcadia,53054,10.93,4854,,,
Humboldt,Arcata,16651,9.1,1830,,,
San Luis Obispo,Arroyo Grande,15851,5.84,2714,,,
Los Angeles,Artesia,16380,1.62,10111,,,
Kern,Arvin,12956,4.82,2688,,,
San Luis Obispo,Atascadero,26411,25.64,1030,,,
San Mateo,Atherton,7194,5.02,1433,,,
Merced,Atwater,23113,6.09,3795,,,
Placer,Auburn,12462,7.14,1745,,,
Los Angeles,Avalon,3127,2.94,1064,,,
Kings,Avenal,14674,19.42,756,,,
Los Angeles,Azusa,44712,9.66,4629,,,
Kern,Bakersfield,246889,142.16,1737,,,
Los Angeles,Baldwin Park,75837,6.63,11438,,,
Riverside,Banning,23562,23.1,1020,,,
San Bernardino,Barstow,21119,41.38,510,,,
Riverside,Beaumont,11384,30.91,368,,,
Los Angeles,Bell,36664,2.5,14666,,,
Los Angeles,Bell Gardens,44054,2.46,17908,,,
Los Angeles,Bellflower,72878,6.12,11908,,,
San Mateo,Belmont,25123,4.62,5438,,,
Marin,Belvedere,2125,0.52,4087,,,
Solano,Benicia,26865,12.93,2078,,,
Alameda,Berkeley,102743,10.47,9813,,,
Los Angeles,Beverly Hills,33784,5.71,5917,,,
San Bernardino,Big Bear Lake,5438,6.35,856,,,
Butte,Biggs,1793,0.64,2802,,,
Inyo,Bishop,3575,1.86,1922,,,
Humboldt,Blue Lake,1135,0.59,1924,,,
Riverside,Blythe,20463,26.19,781,,,
Los Angeles,Bradbury,855,1.96,436,,,
Imperial,Brawley,22052,7.68,2871,,,
Orange,Brea,35410,12.08,2931,,,
Contra Costa,Brentwood,23302,14.79,1576,,,
San Mateo,Brisbane,3597,3.1,1160,,,
Orange,Buena Park,78282,10.52,7441,,,
Los Angeles,Burbank,100316,17.34,5785,,,
San Mateo,Burlingame,28158,4.41,6385,,,
Imperial,Calexico,27109,8.39,3231,,,
Kern,California City,8385,203.52,41,,,
Imperial,Calipatria,7289,3.72,1959,,,
Napa,Calistoga,5190,2.6,1996,,,
Ventura,Camarillo,57077,19.53,2923,,,
Santa Clara,Campbell,38138,5.8,6576,,,
Santa Cruz,Capitola,10033,1.59,6310,,,
San Diego,Carlsbad,78247,37.72,2074,,,
Monterey,Carmel-By-The-Sea,4081,1.08,3779,,,
Santa Barbara,Carpinteria,14194,2.59,5480,,,
Los Angeles,Carson,89730,18.72,4793,,,
Riverside,Cathedral City,42647,21.5,1984,,,
Stanislaus,Ceres,34609,8.01,4321,,,
Los Angeles,Cerritos,51488,8.73,5898,,,
Butte,Chico,60516,32.92,1838,,,
San Bernardino,Chino,67168,29.64,2266,,,
Madera,Chowchilla,14416,7.66,1882,,,
San Diego,Chula Vista,173556,49.63,3497,,,
Los Angeles,Claremont,33998,13.35,2547,,,
Contra Costa,Clayton,10762,3.84,2803,,,
Sonoma,Cloverdale,6831,2.65,2578,,,
Fresno,Clovis,68468,23.28,2941,,,
Riverside,Coachella,22724,28.95,785,,,
Fresno,Coalinga,16213,6.12,2649,,,
Placer,Colfax,1496,1.41,1061,,,
San Mateo,Colma,1187,1.91,621,,,
San Bernardino,Colton,47662,15.32,3111,,,
Colusa,Colusa,5402,1.83,2952,,,
Los Angeles,Commerce,12568,6.54,1922,,,
Los Angeles,Compton,93493,10.01,9340,,,
Contra Costa,Concord,121780,30.55,3986,,,
Kings,Corcoran,20835,7.47,2789,,,
Tehama,Corning,6741,3.55,1899,,,
Riverside,Corona,124966,38.83,3218,,,
San Diego,Coronado,24100,7.93,3039,,,
Marin,Corte Madera,9100,3.16,2880,,,
Orange,Costa Mesa,108724,15.65,6947,,,
Sonoma,Cotati,6471,1.88,3442,,,
Los Angeles,Covina,46837,7.03,6662,,,
Del Norte,Crescent City,7347,1.96,3748,,,
Los Angeles,Cudahy,24208,1.18,20515,,,
Los Angeles,Culver City,38816,5.11,7596,,,
Santa Clara,Cupertino,50546,11.26,4489,,,
Orange,Cypress,46229,6.58,7026,,,
